LP,NOM_CONTACT,PRENOM_CONTACT,GENDER,IBAN,EMAIL,BIRTH_DATE
CUSHMAN & WAKEFIELD,Giraud,Inès,Female,FR2092558515705998202788482,inès.giraud@cushmanwakefield.com,1928-04-30
JLL,Lévêque,Honoré,Male,FR6561716562231097053111596,honoré.lévêque@jll.com,1948-02-12
BPCE SOLUTIONS IMMOBILIÈRES,Leconte,Caroline,Male,FR0320089158718274339686621,caroline.leconte@bpcesolutionsimmobilières.com,1968-12-10
SAVILLS,Collin,Valérie,Female,FR7134976674119328348196104,valérie.collin@savills.com,1963-09-23
CATELLA VALUATION,Millet,Susanne,Female,FR1423841031098573587579249,susanne.millet@catellavaluation.com,1940-05-23
COLLIERS FRANCE,Chauveau,Anne,Male,FR3369274355019241947414553,anne.chauveau@colliersfrance.com,1958-09-17
COLOMER EXPERTISES,Schmitt,Hugues,Male,FR0937999480951097183453140,hugues.schmitt@colomerexpertises.com,1967-07-22
EXPERTISES GALTIER,Pons,Sébastien,Male,FR9415820695511225078606250,sébastien.pons@expertisesgaltier.com,1944-12-05
KNIGHT FRANK,Perrier,Pauline,Male,FR8451697385377212995840794,pauline.perrier@knightfrank.com,1942-06-16
KPMG,Cordier,Aurore,Female,FR6803301571384273402201499,aurore.cordier@kpmg.com,1933-01-09
MARC-OLIVIER PETIT EXPERTISES,Boucher,Nath,Male,FR3783897003417071923024001,nath.boucher@marc-olivierpetitexpertises.com,1940-06-01
VIF EXPERTISE,Brunel,Claudine,Female,FR5541757243643325062412097,claudine.brunel@vifexpertise.com,1951-05-04
CABINET MAIGNÉ-GABORIT & GARRAUD,Guillon,Renée,Female,FR9551793517663759022665643,renée.guillon@cabinetmaigné-gaboritgarraud.com,1934-03-19
CEI - CONSEIL EVALUATIONS IMMOBILIÈRES,Mathieu,Alex,Female,FR7656504442007764624539318,alex.mathieu@cei-conseilevaluationsimmobilières.com,1945-06-25
DAXTER,Normand,Frédérique,Male,FR4766643061470895061552168,frédérique.normand@daxter.com,1947-06-28
DELOITTE,Nguyen,Virginie,Male,FR6277025359819046538594861,virginie.nguyen@deloitte.com,1966-10-12
FRÉRAULT EXPERTISES,Toussaint,Théophile,Female,FR3836601809468338760657187,théophile.toussaint@fréraultexpertises.com,1931-12-13
QUADRAL EXPERTISE,Antoine,Valérie,Female,FR1667373537025847071186144,valérie.antoine@quadralexpertise.com,1965-05-25
ROBINE & ASSOCIÉS,Hamel,Isaac,Male,FR6729016815610784565123204,isaac.hamel@robineassociés.com,1941-10-06
SAINSARD EXPERTS,Jean,Claire,Male,FR7317239632468256189921748,claire.jean@sainsardexperts.com,1954-08-26
B&E PARTNERS,Rossi,Charles,Female,FR1988594574787036820971113,charles.rossi@bepartners.com,1926-10-23
CABINET ROUX,Guyon,Alfred,Male,FR0839710674466999534076725,alfred.guyon@cabinetroux.com,1947-03-29
FIDAL,Peron,Renée,Female,FR2551314301051953528286597,renée.peron@fidal.com,1934-12-04
IFC EXPERTISE,Sauvage,Henri,Male,FR6522383514512750839315373,henri.sauvage@ifcexpertise.com,1963-08-31
LH & ASSOCIÉS,Pottier,Franck,Male,FR6559921959090367860513098,franck.pottier@lhassociés.com,1968-08-09
INTUITAE,Guillaume,Anouk,Female,FR7948587156234604809637458,anouk.guillaume@intuitae.com,1964-09-09
KEEPERS,Lenoir,Simone,Male,FR1899067715817949566526052,simone.lenoir@keepers.com,1946-03-28
LETUS PRIVATE OFFICE,Carlier,Diane,Male,FR2063146796199550954830526,diane.carlier@letusprivateoffice.com,1961-04-25
MJ & CIE,Moulin,Alexandria,Female,FR1335983211173172900235564,alexandria.moulin@mjcie.com,1944-03-27
EVEN FO,Delahaye,Julien,Male,FR0490671745849909410409184,julien.delahaye@evenfo.com,1949-05-30
OCTAVE FAMILY OFFICE,Pottier,Alexandria,Male,FR8930152102568498087816204,alexandria.pottier@octavefamilyoffice.com,1966-10-24
B DURAND CAPITAL PARTNERS,Dubois,Augustin,Female,FR1934912437799587377483510,augustin.dubois@bdurandcapitalpartners.com,1954-05-22
COLISÉE FAMILY OFFICE,Vaillant,Denis,Male,FR9443296505734873000771037,denis.vaillant@coliséefamilyoffice.com,1923-10-07
FLUENCE,Besson,Georges,Male,FR6677681583948030607538829,georges.besson@fluence.com,1930-12-16
KERMONY OFFICE,Marchal,Jacqueline,Female,FR7848405423683633237867340,jacqueline.marchal@kermonyoffice.com,1931-04-17
MAISON LAPLACE,Foucher,Alexandria,Female,FR6874432369523875553422901,alexandria.foucher@maisonlaplace.com,1963-05-03
MEESCHAERT FAMILY OFFICE,Chauveau,Paul,Female,FR8405426283189911492168493,paul.chauveau@meeschaertfamilyoffice.com,1944-05-29
ATHOS PATRIMOINE,Colin,Paul,Female,FR3586316046698145406881001,paul.colin@athospatrimoine.com,1940-07-25
HÂPYFEW,Vaillant,Émilie,Female,FR9019231405309291101262597,émilie.vaillant@hâpyfew.com,1966-10-15
IMANI & YOU,Lelièvre,Paulette,Male,FR5410940107267711296553916,paulette.lelièvre@imaniyou.com,1945-01-18
XELIS FAMILY OFFICE,Bouchet,Frédéric,Female,FR1611407490398021143403062,frédéric.bouchet@xelisfamilyoffice.com,1943-08-12
EXPERTS EN PATRIMOINE,Blot,Caroline,Female,FR8852983982548311715842875,caroline.blot@expertsenpatrimoine.com,1944-11-12
EVFO,Brun,Suzanne,Male,FR3949467833718629899131858,suzanne.brun@evfo.com,1940-04-09
MILLENIUM GESTION PRIVÉE,Bouchet,Frédéric,Male,FR0202103897058055300476014,frédéric.bouchet@milleniumgestionprivée.com,1927-10-05
OMEGA PATRIMOINE,Le Goff,Monique,Male,FR3827576631286313281164248,monique.le goff@omegapatrimoine.com,1925-01-23
ALTRIDE FAMILY OFFICE,Gimenez,Matthieu,Male,FR0662834692886727233441230,matthieu.gimenez@altridefamilyoffice.com,1956-11-14
Swiss Life,Grégoire,Alexandre,Female,FR6385996688471693548523166,alexandre.grégoire@swisslife.com,1949-12-23
UNOFI,Pinto,Zacharie,Male,FR0481972576106096085158961,zacharie.pinto@unofi.com,1926-05-15
Acer Finance,Julien,Corinne,Female,FR1542020986518086880453801,corinne.julien@acerfinance.com,1924-04-11
Aramis Finance,Roy,Diane,Male,FR1901656193052821569892852,diane.roy@aramisfinance.com,1926-08-25
Pinou Capital,Laurent,Claude,Female,FR9808784069845212200248884,claude.laurent@pinoucapital.com,1943-01-13
BNP PARIBAS REAL ESTATE,Henry,Caroline,Male,FR5059061150397839947617786,caroline.henry@bnpparibasrealestate.com,1955-04-04
MARTINS & ASSOCIÉS,Ramos,Lucie,Female,FR8675596004991646860088306,lucie.ramos@martinsassociés.com,1958-06-17
PWC,Grenier,Audrey,Female,FR6477151798514383183937394,audrey.grenier@pwc.com,1957-10-26
WÜEST PARTNER FRANCE,Grenier,Bernadette,Female,FR1310098817413776452640956,bernadette.grenier@wüestpartnerfrance.com,1933-07-13
AGAMI FAMILY OFFICE,Lejeune,Élisabeth,Female,FR0527088552466524891317604,élisabeth.lejeune@agamifamilyoffice.com,1955-06-01
FAMILY PARTNERS,Descamps,Suzanne,Male,FR5216252055466745250943362,suzanne.descamps@familypartners.com,1948-12-05
IVESTA FAMILY OFFICE,Legendre,Josette,Male,FR8252394643504385481328259,josette.legendre@ivestafamilyoffice.com,1971-02-05
ALTHEO PARTNERS,Weiss,Pénélope,Male,FR1473737958741334715337601,pénélope.weiss@altheopartners.com,1934-08-02
KIMPA,Paris,Antoinette,Male,FR5968640720938857061842473,antoinette.paris@kimpa.com,1973-01-21
ARAMIS FINANCE,Blondel,Alexandre,Male,FR0780179593249102776546042,alexandre.blondel@aramisfinance.com,1947-07-18
